page,source,ppt,diff,diagnostic_overlay,mae,rms,max_delta,diagnostics
1,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\comparison\pdf-pages\page-001.png,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\ppt-renders\幻灯片1.PNG,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\comparison\diffs\diff-001.png,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\comparison\diagnostic-overlays\overlay-001.png,4.678,19.326,255,"[{'bbox': [954, 291, 970, 308], 'area': 105, 'area_ratio': 0.000114, 'mean_delta': 162.524, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.415, 'bbox_norm': [0.7453, 0.4042, 0.7578, 0.4278]}, {'bbox': [934, 392, 951, 408], 'area': 180, 'area_ratio': 0.000195, 'mean_delta': 152.756, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.391, 'bbox_norm': [0.7297, 0.5444, 0.743, 0.5667]}, {'bbox': [837, 458, 854, 477], 'area': 137, 'area_ratio': 0.000149, 'mean_delta': 151.854, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.388, 'bbox_norm': [0.6539, 0.6361, 0.6672, 0.6625]}, {'bbox': [856, 459, 874, 475], 'area': 158, 'area_ratio': 0.000171, 'mean_delta': 148.576, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.38, 'bbox_norm': [0.6687, 0.6375, 0.6828, 0.6597]}, {'bbox': [1110, 290, 1126, 308], 'area': 151, 'area_ratio': 0.000164, 'mean_delta': 146.007, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.373, 'bbox_norm': [0.8672, 0.4028, 0.8797, 0.4278]}, {'bbox': [895, 391, 913, 409], 'area': 134, 'area_ratio': 0.000145, 'mean_delta': 145.515, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.372, 'bbox_norm': [0.6992, 0.5431, 0.7133, 0.5681]}, {'bbox': [916, 392, 931, 408], 'area': 119, 'area_ratio': 0.000129, 'mean_delta': 145.513, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.372, 'bbox_norm': [0.7156, 0.5444, 0.7273, 0.5667]}, {'bbox': [1070, 290, 1087, 308], 'area': 164, 'area_ratio': 0.000178, 'mean_delta': 144.902, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.371, 'bbox_norm': [0.8359, 0.4028, 0.8492, 0.4278]}, {'bbox': [895, 290, 913, 308], 'area': 137, 'area_ratio': 0.000149, 'mean_delta': 145.0, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.371, 'bbox_norm': [0.6992, 0.4028, 0.7133, 0.4278]}, {'bbox': [855, 291, 874, 308], 'area': 166, 'area_ratio': 0.00018, 'mean_delta': 143.946, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.368, 'bbox_norm': [0.668, 0.4042, 0.6828, 0.4278]}, {'bbox': [973, 391, 988, 409], 'area': 138, 'area_ratio': 0.00015, 'mean_delta': 143.043, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.366, 'bbox_norm': [0.7602, 0.5431, 0.7719, 0.5681]}, {'bbox': [1129, 291, 1146, 307], 'area': 137, 'area_ratio': 0.000149, 'mean_delta': 142.35, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.364, 'bbox_norm': [0.882, 0.4042, 0.8953, 0.4264]}]"
2,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\comparison\pdf-pages\page-002.png,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\ppt-renders\幻灯片2.PNG,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\comparison\diffs\diff-002.png,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\comparison\diagnostic-overlays\overlay-002.png,3.144,15.451,189,"[{'bbox': [66, 354, 175, 364], 'area': 977, 'area_ratio': 0.00106, 'mean_delta': 139.875, 'max_delta': 181, 'category': 'text_or_font_mismatch', 'severity': 0.364, 'bbox_norm': [0.0516, 0.4917, 0.1367, 0.5056]}, {'bbox': [416, 345, 451, 381], 'area': 434, 'area_ratio': 0.000471, 'mean_delta': 137.35, 'max_delta': 178, 'category': 'text_or_font_mismatch', 'severity': 0.353, 'bbox_norm': [0.325, 0.4792, 0.3523, 0.5292]}, {'bbox': [69, 276, 114, 320], 'area': 833, 'area_ratio': 0.000904, 'mean_delta': 131.14, 'max_delta': 183, 'category': 'text_or_font_mismatch', 'severity': 0.341, 'bbox_norm': [0.0539, 0.3833, 0.0891, 0.4444]}, {'bbox': [284, 332, 333, 387], 'area': 992, 'area_ratio': 0.001076, 'mean_delta': 129.135, 'max_delta': 184, 'category': 'text_or_font_mismatch', 'severity': 0.337, 'bbox_norm': [0.2219, 0.4611, 0.2602, 0.5375]}, {'bbox': [239, 332, 281, 380], 'area': 600, 'area_ratio': 0.000651, 'mean_delta': 130.423, 'max_delta': 183, 'category': 'text_or_font_mismatch', 'severity': 0.337, 'bbox_norm': [0.1867, 0.4611, 0.2195, 0.5278]}, {'bbox': [230, 275, 277, 323], 'area': 1122, 'area_ratio': 0.001217, 'mean_delta': 127.287, 'max_delta': 188, 'category': 'text_or_font_mismatch', 'severity': 0.333, 'bbox_norm': [0.1797, 0.3819, 0.2164, 0.4486]}, {'bbox': [428, 340, 486, 381], 'area': 670, 'area_ratio': 0.000727, 'mean_delta': 128.428, 'max_delta': 189, 'category': 'text_or_font_mismatch', 'severity': 0.332, 'bbox_norm': [0.3344, 0.4722, 0.3797, 0.5292]}, {'bbox': [101, 273, 120, 303], 'area': 186, 'area_ratio': 0.000202, 'mean_delta': 129.409, 'max_delta': 180, 'category': 'text_or_font_mismatch', 'severity': 0.331, 'bbox_norm': [0.0789, 0.3792, 0.0938, 0.4208]}, {'bbox': [484, 352, 508, 381], 'area': 392, 'area_ratio': 0.000425, 'mean_delta': 126.704, 'max_delta': 175, 'category': 'text_or_font_mismatch', 'severity': 0.326, 'bbox_norm': [0.3781, 0.4889, 0.3969, 0.5292]}, {'bbox': [178, 335, 226, 386], 'area': 1038, 'area_ratio': 0.001126, 'mean_delta': 124.438, 'max_delta': 187, 'category': 'text_or_font_mismatch', 'severity': 0.325, 'bbox_norm': [0.1391, 0.4653, 0.1766, 0.5361]}, {'bbox': [338, 334, 380, 373], 'area': 601, 'area_ratio': 0.000652, 'mean_delta': 125.463, 'max_delta': 182, 'category': 'text_or_font_mismatch', 'severity': 0.324, 'bbox_norm': [0.2641, 0.4639, 0.2969, 0.5181]}, {'bbox': [189, 271, 226, 322], 'area': 912, 'area_ratio': 0.00099, 'mean_delta': 123.093, 'max_delta': 182, 'category': 'text_or_font_mismatch', 'severity': 0.321, 'bbox_norm': [0.1477, 0.3764, 0.1766, 0.4472]}]"
3,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\comparison\pdf-pages\page-003.png,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\ppt-renders\幻灯片3.PNG,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\comparison\diffs\diff-003.png,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\comparison\diagnostic-overlays\overlay-003.png,6.228,28.041,255,"[{'bbox': [88, 199, 96, 214], 'area': 76, 'area_ratio': 8.2e-05, 'mean_delta': 212.237, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.542, 'bbox_norm': [0.0688, 0.2764, 0.075, 0.2972]}, {'bbox': [834, 636, 857, 658], 'area': 329, 'area_ratio': 0.000357, 'mean_delta': 183.72, 'max_delta': 253, 'category': 'text_or_font_mismatch', 'severity': 0.471, 'bbox_norm': [0.6516, 0.8833, 0.6695, 0.9139]}, {'bbox': [173, 551, 231, 565], 'area': 569, 'area_ratio': 0.000617, 'mean_delta': 175.944, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.453, 'bbox_norm': [0.1352, 0.7653, 0.1805, 0.7847]}, {'bbox': [855, 398, 882, 407], 'area': 172, 'area_ratio': 0.000187, 'mean_delta': 171.11, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.437, 'bbox_norm': [0.668, 0.5528, 0.6891, 0.5653]}, {'bbox': [126, 550, 176, 568], 'area': 505, 'area_ratio': 0.000548, 'mean_delta': 169.59, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.436, 'bbox_norm': [0.0984, 0.7639, 0.1375, 0.7889]}, {'bbox': [368, 369, 384, 388], 'area': 237, 'area_ratio': 0.000257, 'mean_delta': 168.895, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.432, 'bbox_norm': [0.2875, 0.5125, 0.3, 0.5389]}, {'bbox': [502, 197, 521, 214], 'area': 184, 'area_ratio': 0.0002, 'mean_delta': 169.12, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.432, 'bbox_norm': [0.3922, 0.2736, 0.407, 0.2972]}, {'bbox': [129, 480, 185, 489], 'area': 374, 'area_ratio': 0.000406, 'mean_delta': 167.04, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.429, 'bbox_norm': [0.1008, 0.6667, 0.1445, 0.6792]}, {'bbox': [433, 373, 446, 388], 'area': 142, 'area_ratio': 0.000154, 'mean_delta': 167.746, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.429, 'bbox_norm': [0.3383, 0.5181, 0.3484, 0.5389]}, {'bbox': [454, 198, 469, 214], 'area': 133, 'area_ratio': 0.000144, 'mean_delta': 164.977, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.422, 'bbox_norm': [0.3547, 0.275, 0.3664, 0.2972]}, {'bbox': [116, 197, 192, 216], 'area': 834, 'area_ratio': 0.000905, 'mean_delta': 162.339, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.42, 'bbox_norm': [0.0906, 0.2736, 0.15, 0.3]}, {'bbox': [185, 479, 201, 489], 'area': 88, 'area_ratio': 9.5e-05, 'mean_delta': 163.489, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.417, 'bbox_norm': [0.1445, 0.6653, 0.157, 0.6792]}]"
4,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\comparison\pdf-pages\page-004.png,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\ppt-renders\幻灯片4.PNG,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\comparison\diffs\diff-004.png,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\comparison\diagnostic-overlays\overlay-004.png,6.864,26.398,255,"[{'bbox': [1025, 214, 1042, 230], 'area': 178, 'area_ratio': 0.000193, 'mean_delta': 169.376, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.433, 'bbox_norm': [0.8008, 0.2972, 0.8141, 0.3194]}, {'bbox': [1043, 213, 1061, 230], 'area': 211, 'area_ratio': 0.000229, 'mean_delta': 168.436, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.431, 'bbox_norm': [0.8148, 0.2958, 0.8289, 0.3194]}, {'bbox': [1061, 213, 1099, 231], 'area': 374, 'area_ratio': 0.000406, 'mean_delta': 167.583, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.43, 'bbox_norm': [0.8289, 0.2958, 0.8586, 0.3208]}, {'bbox': [959, 213, 997, 231], 'area': 429, 'area_ratio': 0.000465, 'mean_delta': 166.336, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.427, 'bbox_norm': [0.7492, 0.2958, 0.7789, 0.3208]}, {'bbox': [767, 422, 815, 439], 'area': 438, 'area_ratio': 0.000475, 'mean_delta': 160.758, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.413, 'bbox_norm': [0.5992, 0.5861, 0.6367, 0.6097]}, {'bbox': [1015, 609, 1030, 621], 'area': 122, 'area_ratio': 0.000132, 'mean_delta': 158.828, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.406, 'bbox_norm': [0.793, 0.8458, 0.8047, 0.8625]}, {'bbox': [783, 441, 815, 457], 'area': 303, 'area_ratio': 0.000329, 'mean_delta': 157.541, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.404, 'bbox_norm': [0.6117, 0.6125, 0.6367, 0.6347]}, {'bbox': [959, 191, 979, 206], 'area': 172, 'area_ratio': 0.000187, 'mean_delta': 156.599, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.4, 'bbox_norm': [0.7492, 0.2653, 0.7648, 0.2861]}, {'bbox': [815, 311, 830, 327], 'area': 139, 'area_ratio': 0.000151, 'mean_delta': 154.813, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.396, 'bbox_norm': [0.6367, 0.4319, 0.6484, 0.4542]}, {'bbox': [1020, 190, 1038, 208], 'area': 206, 'area_ratio': 0.000224, 'mean_delta': 153.951, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.394, 'bbox_norm': [0.7969, 0.2639, 0.8109, 0.2889]}, {'bbox': [786, 291, 812, 307], 'area': 173, 'area_ratio': 0.000188, 'mean_delta': 153.04, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.391, 'bbox_norm': [0.6141, 0.4042, 0.6344, 0.4264]}, {'bbox': [1141, 190, 1160, 207], 'area': 196, 'area_ratio': 0.000213, 'mean_delta': 151.857, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.389, 'bbox_norm': [0.8914, 0.2639, 0.9062, 0.2875]}]"
5,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\comparison\pdf-pages\page-005.png,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\ppt-renders\幻灯片5.PNG,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\comparison\diffs\diff-005.png,E:\skilldev\pdf-to-ppt-skill\samples\_wps_analysis\Maple_pitchbook_世界模型_vF_001\comparison\diagnostic-overlays\overlay-005.png,3.5,18.363,255,"[{'bbox': [389, 146, 411, 166], 'area': 222, 'area_ratio': 0.000241, 'mean_delta': 178.946, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.458, 'bbox_norm': [0.3039, 0.2028, 0.3211, 0.2306]}, {'bbox': [369, 146, 389, 167], 'area': 171, 'area_ratio': 0.000186, 'mean_delta': 169.474, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.433, 'bbox_norm': [0.2883, 0.2028, 0.3039, 0.2319]}, {'bbox': [596, 147, 616, 165], 'area': 187, 'area_ratio': 0.000203, 'mean_delta': 168.85, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.432, 'bbox_norm': [0.4656, 0.2042, 0.4813, 0.2292]}, {'bbox': [347, 148, 367, 166], 'area': 249, 'area_ratio': 0.00027, 'mean_delta': 168.12, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.43, 'bbox_norm': [0.2711, 0.2056, 0.2867, 0.2306]}, {'bbox': [118, 315, 135, 329], 'area': 146, 'area_ratio': 0.000158, 'mean_delta': 166.562, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.426, 'bbox_norm': [0.0922, 0.4375, 0.1055, 0.4569]}, {'bbox': [241, 146, 260, 166], 'area': 246, 'area_ratio': 0.000267, 'mean_delta': 164.459, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.421, 'bbox_norm': [0.1883, 0.2028, 0.2031, 0.2306]}, {'bbox': [284, 147, 303, 165], 'area': 224, 'area_ratio': 0.000243, 'mean_delta': 163.862, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.419, 'bbox_norm': [0.2219, 0.2042, 0.2367, 0.2292]}, {'bbox': [576, 146, 594, 166], 'area': 213, 'area_ratio': 0.000231, 'mean_delta': 163.357, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.418, 'bbox_norm': [0.45, 0.2028, 0.4641, 0.2306]}, {'bbox': [456, 146, 476, 167], 'area': 166, 'area_ratio': 0.00018, 'mean_delta': 162.367, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.415, 'bbox_norm': [0.3563, 0.2028, 0.3719, 0.2319]}, {'bbox': [410, 148, 455, 165], 'area': 517, 'area_ratio': 0.000561, 'mean_delta': 157.718, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.406, 'bbox_norm': [0.3203, 0.2056, 0.3555, 0.2292]}, {'bbox': [479, 147, 497, 166], 'area': 224, 'area_ratio': 0.000243, 'mean_delta': 157.871, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.404, 'bbox_norm': [0.3742, 0.2042, 0.3883, 0.2306]}, {'bbox': [498, 147, 519, 166], 'area': 232, 'area_ratio': 0.000252, 'mean_delta': 155.052, 'max_delta': 255, 'category': 'text_or_font_mismatch', 'severity': 0.397, 'bbox_norm': [0.3891, 0.2042, 0.4055, 0.2306]}]"
